,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,topic,problem,status,link
91,91,91,91,91,String,Transform One String to Another using Minimum Number of Given Operation,N,https://www.geeksforgeeks.org/transform-one-string-to-another-using-minimum-number-of-given-operation/
92,92,92,92,92,String,Check if two given strings are isomorphic to each other,N,https://practice.geeksforgeeks.org/problems/isomorphic-strings/0
93,93,93,93,93,String,Recursively print all sentences that can be formed from list of word lists,N,https://www.geeksforgeeks.org/recursively-print-all-sentences-that-can-be-formed-from-list-of-word-lists/
94,94,94,94,94,,,,
95,95,95,95,95,,,,
96,96,96,96,96,Searching & Sorting,Find first and last positions of an element in a sorted array,N,https://practice.geeksforgeeks.org/problems/first-and-last-occurrences-of-x/0
97,97,97,97,97,Searching & Sorting,Find a Fixed Point (Value equal to index) in a given array,N,https://practice.geeksforgeeks.org/problems/value-equal-to-index-value1330/1
98,98,98,98,98,Searching & Sorting,Search in a rotated sorted array,N,https://leetcode.com/problems/search-in-rotated-sorted-array/
99,99,99,99,99,Searching & Sorting,square root of an integer,N,https://practice.geeksforgeeks.org/problems/count-squares3649/1
100,100,100,100,100,Searching & Sorting,Maximum and minimum of an array using minimum number of comparisons,N,https://practice.geeksforgeeks.org/problems/middle-of-three2926/1
101,101,101,101,101,Searching & Sorting,Optimum location of point to minimize total distance,N,https://www.geeksforgeeks.org/optimum-location-point-minimize-total-distance/
102,102,102,102,102,Searching & Sorting,Find the repeating and the missing,N,https://practice.geeksforgeeks.org/problems/find-missing-and-repeating2512/1
103,103,103,103,103,Searching & Sorting,find majority element,N,https://practice.geeksforgeeks.org/problems/majority-element/0
104,104,104,104,104,Searching & Sorting,Searching in an array where adjacent differ by at most k,N,https://www.geeksforgeeks.org/searching-array-adjacent-differ-k/
105,105,105,105,105,Searching & Sorting,find a pair with a given difference,N,https://practice.geeksforgeeks.org/problems/find-pair-given-difference/0
106,106,106,106,106,Searching & Sorting,find four elements that sum to a given value,N,https://practice.geeksforgeeks.org/problems/find-all-four-sum-numbers/0
107,107,107,107,107,Searching & Sorting,maximum sum such that no 2 elements are adjacent,N,https://practice.geeksforgeeks.org/problems/stickler-theif/0
108,108,108,108,108,Searching & Sorting,Count triplet with sum smaller than a given value,N,https://practice.geeksforgeeks.org/problems/count-triplets-with-sum-smaller-than-x5549/1
109,109,109,109,109,Searching & Sorting,merge 2 sorted arrays,N,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays5135/1
110,110,110,110,110,Searching & Sorting,print all subarrays with 0 sum,N,https://practice.geeksforgeeks.org/problems/zero-sum-subarrays/0
111,111,111,111,111,Searching & Sorting,Product array Puzzle,N,https://practice.geeksforgeeks.org/problems/product-array-puzzle/0
112,112,112,112,112,Searching & Sorting,Sort array according to count of set bits,N,https://practice.geeksforgeeks.org/problems/sort-by-set-bit-count/0
113,113,113,113,113,Searching & Sorting,minimum no. of swaps required to sort the array,N,https://practice.geeksforgeeks.org/problems/minimum-swaps/1
114,114,114,114,114,Searching & Sorting,Bishu and Soldiers,N,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/bishu-and-soldiers/
115,115,115,115,115,Searching & Sorting,Rasta and Kheshtak,N,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/rasta-and-kheshtak/
116,116,116,116,116,Searching & Sorting,Kth smallest number again,N,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/kth-smallest-number-again-2/
117,117,117,117,117,Searching & Sorting,Find pivot element in a sorted array,N,http://theoryofprogramming.com/2017/12/16/find-pivot-element-sorted-rotated-array/
118,118,118,118,118,Searching & Sorting,K-th Element of Two Sorted Arrays,N,https://practice.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array/0
119,119,119,119,119,Searching & Sorting,Aggressive cows,N,https://www.spoj.com/problems/AGGRCOW/
120,120,120,120,120,Searching & Sorting,Book Allocation Problem,N,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages/0
121,121,121,121,121,Searching & Sorting,EKOSPOJ:,N,https://www.spoj.com/problems/EKO/
122,122,122,122,122,Searching & Sorting,Job Scheduling Algo,N,https://www.geeksforgeeks.org/weighted-job-scheduling-log-n-time/
123,123,123,123,123,Searching & Sorting,Missing Number in AP,N,https://practice.geeksforgeeks.org/problems/arithmetic-number/0
124,124,124,124,124,Searching & Sorting,Smallest number with atleastn trailing zeroes infactorial,N,https://practice.geeksforgeeks.org/problems/smallest-factorial-number5929/1
125,125,125,125,125,Searching & Sorting,Painters Partition Problem:,N,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages/0
126,126,126,126,126,Searching & Sorting,ROTI-Prata SPOJ,N,https://www.spoj.com/problems/PRATA/
127,127,127,127,127,Searching & Sorting,DoubleHelix SPOJ,N,https://www.spoj.com/problems/ANARC05B/
128,128,128,128,128,Searching & Sorting,Subset Sums,N,https://www.spoj.com/problems/SUBSUMS/
129,129,129,129,129,Searching & Sorting,Findthe inversion count,N,https://practice.geeksforgeeks.org/problems/inversion-of-array/0
130,130,130,130,130,Searching & Sorting,Implement Merge-sort in-place,N,https://www.geeksforgeeks.org/in-place-merge-sort/
131,131,131,131,131,Searching & Sorting,Partitioning and Sorting Arrays with Many Repeated Entries,N,https://www.baeldung.com/java-sorting-arrays-with-repeated-entries
132,132,132,132,132,,,,
133,133,133,133,133,,,,
134,134,134,134,134,LinkedList,Write a Program to reverse the Linked List. (Both Iterative and recursive),N,https://www.geeksforgeeks.org/reverse-a-linked-list/
135,135,135,135,135,LinkedList,Reverse a Linked List in group of Given Size. [Very Imp],N,https://practice.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1
136,136,136,136,136,LinkedList,Write a program to Detect loop in a linked list.,N,https://practice.geeksforgeeks.org/problems/detect-loop-in-linked-list/1
137,137,137,137,137,LinkedList,Write a program to Delete loop in a linked list.,N,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1
138,138,138,138,138,LinkedList,Find the starting point of the loop. ,N,https://www.geeksforgeeks.org/find-first-node-of-loop-in-a-linked-list/
139,139,139,139,139,LinkedList,Remove Duplicates in a sorted Linked List.,N,https://practice.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1
140,140,140,140,140,LinkedList,Remove Duplicates in a Un-sorted Linked List.,N,https://practice.geeksforgeeks.org/problems/remove-duplicates-from-an-unsorted-linked-list/1
141,141,141,141,141,LinkedList,Write a Program to Move the last element to Front in a Linked List.,N,https://www.geeksforgeeks.org/move-last-element-to-front-of-a-given-linked-list/
142,142,142,142,142,LinkedList,Add “1” to a number represented as a Linked List.,N,https://practice.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1
143,143,143,143,143,LinkedList,Add two numbers represented by linked lists.,N,https://practice.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1
144,144,144,144,144,LinkedList,Intersection of two Sorted Linked List.,N,https://practice.geeksforgeeks.org/problems/intersection-of-two-sorted-linked-lists/1
145,145,145,145,145,LinkedList,Intersection Point of two Linked Lists.,N,https://practice.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1
146,146,146,146,146,LinkedList,Merge Sort For Linked lists.[Very Important],N,https://practice.geeksforgeeks.org/problems/sort-a-linked-list/1
147,147,147,147,147,LinkedList,Quicksort for Linked Lists.[Very Important],N,https://practice.geeksforgeeks.org/problems/quick-sort-on-linked-list/1
148,148,148,148,148,LinkedList,Find the middle Element of a linked list.,N,https://leetcode.com/problems/middle-of-the-linked-list/
149,149,149,149,149,LinkedList,Check if a linked list is a circular linked list.,N,https://practice.geeksforgeeks.org/problems/circular-linked-list/1
150,150,150,150,150,LinkedList,Split a Circular linked list into two halves.,N,https://practice.geeksforgeeks.org/problems/split-a-circular-linked-list-into-two-halves/1
151,151,151,151,151,LinkedList,Write a Program to check whether the Singly Linked list is a palindrome or not.,N,https://practice.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1
152,152,152,152,152,LinkedList,Deletion from a Circular Linked List.,N,https://www.geeksforgeeks.org/deletion-circular-linked-list/
153,153,153,153,153,LinkedList,Reverse a Doubly Linked list.,N,https://practice.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1
154,154,154,154,154,LinkedList,Find pairs with a given sum in a DLL.,N,https://www.geeksforgeeks.org/find-pairs-given-sum-doubly-linked-list/
155,155,155,155,155,LinkedList,Count triplets in a sorted DLL whose sum is equal to given value “X”.,N,https://www.geeksforgeeks.org/count-triplets-sorted-doubly-linked-list-whose-sum-equal-given-value-x/
156,156,156,156,156,LinkedList,Sort a “k”sorted Doubly Linked list.[Very IMP],N,https://www.geeksforgeeks.org/sort-k-sorted-doubly-linked-list/
157,157,157,157,157,LinkedList,Rotate DoublyLinked list by N nodes.,N,https://www.geeksforgeeks.org/rotate-doubly-linked-list-n-nodes/
158,158,158,158,158,LinkedList,Rotate a Doubly Linked list in group of Given Size.[Very IMP],N,https://www.geeksforgeeks.org/reverse-doubly-linked-list-groups-given-size/
159,159,159,159,159,LinkedList,Can we reverse a linked list in less than O(n) ?,N,
160,160,160,160,160,LinkedList,Why Quicksort is preferred for. Arrays and Merge Sort for LinkedLists ?,N,
161,161,161,161,161,LinkedList,Flatten a Linked List,N,https://practice.geeksforgeeks.org/problems/flattening-a-linked-list/1
162,162,162,162,162,LinkedList,"Sort a LL of 0's, 1's and 2's",N,https://practice.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1
163,163,163,163,163,LinkedList,Clone a linked list with next and random pointer,N,https://practice.geeksforgeeks.org/problems/clone-a-linked-list-with-next-and-random-pointer/1
164,164,164,164,164,LinkedList,Merge K sorted Linked list,N,https://practice.geeksforgeeks.org/problems/merge-k-sorted-linked-lists/1
165,165,165,165,165,LinkedList,Multiply 2 no. represented by LL,N,https://practice.geeksforgeeks.org/problems/multiply-two-linked-lists/1
166,166,166,166,166,LinkedList,Delete nodes which have a greater value on right side,N,https://practice.geeksforgeeks.org/problems/delete-nodes-having-greater-value-on-right/1
167,167,167,167,167,LinkedList,Segregate even and odd nodes in a Linked List,N,https://practice.geeksforgeeks.org/problems/segregate-even-and-odd-nodes-in-a-linked-list/0
168,168,168,168,168,LinkedList,Program for n’th node from the end of a Linked List,N,https://practice.geeksforgeeks.org/problems/nth-node-from-end-of-linked-list/1
169,169,169,169,169,LinkedList,Find the first non-repeating character from a stream of characters,N,https://practice.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream/0
170,170,170,170,170,,,,
171,171,171,171,171,,,,
172,172,172,172,172,Binary Trees,level order traversal,Y,https://practice.geeksforgeeks.org/problems/level-order-traversal/1
173,173,173,173,173,Binary Trees,Reverse Level Order traversal,Y,https://practice.geeksforgeeks.org/problems/reverse-level-order-traversal/1
174,174,174,174,174,Binary Trees,Height of a tree,N,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1
175,175,175,175,175,Binary Trees,Diameter of a tree,N,https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1
176,176,176,176,176,Binary Trees,Mirror of a tree,N,https://www.geeksforgeeks.org/create-a-mirror-tree-from-the-given-binary-tree/
177,177,177,177,177,Binary Trees,Inorder Traversal of a tree both using recursion and Iteration,N,https://www.techiedelight.com/inorder-tree-traversal-iterative-recursive/
178,178,178,178,178,Binary Trees,Preorder Traversal of a tree both using recursion and Iteration,N,https://www.techiedelight.com/preorder-tree-traversal-iterative-recursive/
179,179,179,179,179,Binary Trees,Postorder Traversal of a tree both using recursion and Iteration,N,https://www.techiedelight.com/postorder-tree-traversal-iterative-recursive/
180,180,180,180,180,Binary Trees,Left View of a tree,N,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1
181,181,181,181,181,Binary Trees,Right View of Tree,N,https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1
182,182,182,182,182,Binary Trees,Top View of a tree,N,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1
183,183,183,183,183,Binary Trees,Bottom View of a tree,N,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
184,184,184,184,184,Binary Trees,Zig-Zag traversal of a binary tree,N,https://practice.geeksforgeeks.org/problems/zigzag-tree-traversal/1
185,185,185,185,185,Binary Trees,Check if a tree is balanced or not,N,https://practice.geeksforgeeks.org/problems/check-for-balanced-tree/1
186,186,186,186,186,Binary Trees,Diagnol Traversal of a Binary tree,N,https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/
187,187,187,187,187,Binary Trees,Boundary traversal of a Binary tree,N,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1
188,188,188,188,188,Binary Trees,Construct Binary Tree from String with Bracket Representation,N,https://www.geeksforgeeks.org/construct-binary-tree-string-bracket-representation/
189,189,189,189,189,Binary Trees,Convert Binary tree into Doubly Linked List,N,https://practice.geeksforgeeks.org/problems/binary-tree-to-dll/1
190,190,190,190,190,Binary Trees,Convert Binary tree into Sum tree,N,https://practice.geeksforgeeks.org/problems/transform-to-sum-tree/1
191,191,191,191,191,Binary Trees,Construct Binary tree from Inorder and preorder traversal,N,https://practice.geeksforgeeks.org/problems/construct-tree-1/1
192,192,192,192,192,Binary Trees,Find minimum swaps required to convert a Binary tree into BST,N,https://www.geeksforgeeks.org/minimum-swap-required-convert-binary-tree-binary-search-tree/
193,193,193,193,193,Binary Trees,Check if Binary tree is Sum tree or not,N,https://practice.geeksforgeeks.org/problems/sum-tree/1
194,194,194,194,194,Binary Trees,Check if all leaf nodes are at same level or not,N,https://practice.geeksforgeeks.org/problems/leaf-at-same-level/1
195,195,195,195,195,Binary Trees,Check if a Binary Tree contains duplicate subtrees of size 2 or more [ IMP ],N,https://practice.geeksforgeeks.org/problems/duplicate-subtree-in-binary-tree/1
196,196,196,196,196,Binary Trees,Check if 2 trees are mirror or not,N,https://practice.geeksforgeeks.org/problems/check-mirror-in-n-ary-tree/0
197,197,197,197,197,Binary Trees,Sum of Nodes on the Longest path from root to leaf node ,N,https://practice.geeksforgeeks.org/problems/sum-of-the-longest-bloodline-of-a-tree/1
198,198,198,198,198,Binary Trees,Check if given graph is tree or not.  [ IMP ],N,https://www.geeksforgeeks.org/check-given-graph-tree/
199,199,199,199,199,Binary Trees,Find Largest subtree sum in a tree,N,https://www.geeksforgeeks.org/find-largest-subtree-sum-tree/
200,200,200,200,200,Binary Trees,Maximum Sum of nodes in Binary tree such that no two are adjacent ,N,https://www.geeksforgeeks.org/maximum-sum-nodes-binary-tree-no-two-adjacent/
201,201,201,201,201,Binary Trees,"Print all ""K"" Sum paths in a Binary tree",N,https://www.geeksforgeeks.org/print-k-sum-paths-binary-tree/
202,202,202,202,202,Binary Trees,Find LCA in a Binary tree,N,https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1
203,203,203,203,203,Binary Trees,Find distance between 2 nodes in a Binary tree,N,https://practice.geeksforgeeks.org/problems/min-distance-between-two-given-nodes-of-a-binary-tree/1
204,204,204,204,204,Binary Trees,Kth Ancestor of node in a Binary tree,N,https://www.geeksforgeeks.org/kth-ancestor-node-binary-tree-set-2/
205,205,205,205,205,Binary Trees,Find all Duplicate subtrees in a Binary tree [ IMP ],N,https://practice.geeksforgeeks.org/problems/duplicate-subtrees/1
206,206,206,206,206,Binary Trees,Tree Isomorphism Problem,N,https://practice.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1
207,207,207,207,207,,,,
208,208,208,208,208,,,,
209,209,209,209,209,Binary Search Trees,Fina a value in a BST,N,https://www.geeksforgeeks.org/binary-search-tree-set-1-search-and-insertion/
210,210,210,210,210,Binary Search Trees,Deletion of a node in a BST,N,https://leetcode.com/problems/delete-node-in-a-bst/
211,211,211,211,211,Binary Search Trees,Find min and max value in a BST,N,https://practice.geeksforgeeks.org/problems/minimum-element-in-bst/1
212,212,212,212,212,Binary Search Trees,Find inorder successor and inorder predecessor in a BST,N,https://practice.geeksforgeeks.org/problems/predecessor-and-successor/1
213,213,213,213,213,Binary Search Trees,Check if a tree is a BST or not ,N,https://practice.geeksforgeeks.org/problems/check-for-bst/1
214,214,214,214,214,Binary Search Trees,Populate Inorder successor of all nodes,N,https://practice.geeksforgeeks.org/problems/populate-inorder-successor-for-all-nodes/1
215,215,215,215,215,Binary Search Trees,Find LCA  of 2 nodes in a BST,N,https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-bst/1
